01jan, 45J1, 32T2f, 51P1f, 63O0, 21X3f, 34C1, 14Z0, 15L0
26feb, 11C3, 43P1, 73J0, 13X1, 41O1, 35T0, 14Z0, 15L0
27feb, 14J2, 11C3, 43T0, 55Z1, 13X1, 41O1, 64P0f, 25L1
28feb, 14J2, 11C3, 43T0, 55Z1, 13X1, 41O1, 64P0, 25L1
01mar, 11P0f, 36X1f, 41O1, 54C0, 73T1f, 14L1, 44Z1, 32J1
02mar, 11P0, 36X1f, 41O1, 54C0, 73T1f, 14L1, 44Z1, 32J1
03mar, 23Z1f, 36X1f, 53C3, 55O1, 11J2, 41L2, 22T0f, 15P3f
04mar, 23Z1f, 36X1f, 15P3f, 53C3, 55O1, 11J2, 41L2, 22T0
05mar, 45P1, 54L2, 36X1f, 41T3f, 11C0, 51Z0, 22J2f, 14O0
06mar, 73T1, 45P1, 36X1f, 11C0, 22J2f, 41L1, 14O0, 52Z0f
07mar, 36X1f, 74L3, 11C0, 33P2f, 51J2f, 43Z0, 14O0, 41T2
08mar, 33O1, 36X1f, 74L3, 11C0, 51Z0, 24P2, 64J3f, 41T2
09mar, 14P2f, 33O1, 36X1f, 74L3, 11C0, 51Z0, 64J3f, 41T2
10mar, 36X1f, 74L3, 33P1, 11C0, 51Z0, 14O0, 64J3f, 41T2
11mar, 24X2f, 14J0f, 11C0, 51Z0, 54P2, 64O0, 33L1, 41T2
12mar, 24X2f, 14J0f, 11C0, 51Z0, 64O0, 44P2f, 33L1, 41T2
13mar, 74P2, 24X2f, 44O0, 14J0f, 11C0, 51Z0, 33L1, 41T2
14mar, 24X2f, 44O0, 14J0f, 11C0, 51Z0, 64P2f, 33L1, 41T2
15mar, 33L2, 11C0, 51Z0, 14J3, 64O0, 25X3, 16P3, 41T2
16mar, 33P1, 11C0, 51Z0, 55J3f, 64O0, 15L0, 14X1, 41T2
17mar, 25J1, 11C0, 51Z0, 53P2, 64O0, 15L0, 33X1f, 41T2
18mar, 23X2, 26P1f, 44C2, 51Z0, 11J2, 64O0, 33L1, 41T2
19mar, 44C0, 23X2, 26P1f, 51Z0, 11J2, 64O0, 33L1, 41T2
20mar, 23X2, 26P1f, 44O0, 51Z0, 11J2, 64C2, 33L1, 41T2
21mar, 23X2, 26P1f, 44O0, 51Z0, 11J2, 64C0, 33L1, 41T2
22mar, 33L2, 26P1f, 11C0, 51Z0, 14J1f, 25X1, 64O0, 41T2
23mar, 14J2, 33L2, 11C0, 51Z0, 64O0, 34P1f, 36X3f, 41T2
24mar, 33L2, 11C0, 51Z0, 14J1f, 25X1, 64O0, 16P3, 41T2
25mar, 44P0f, 24X2f, 14J0f, 11C0, 51Z0, 64O0, 33L1, 41T2
26mar, 24X2f, 14J0f, 11C0, 51Z0, 64O0, 33L1, 44P0, 41T2
27mar, 24X2f, 44O0, 14J0f, 11C0, 51Z0, 64P0f, 33L1, 41T2
28mar, 24X2f, 44O0, 14J0f, 11C0, 51Z0, 64P0, 33L1, 41T2
29mar, 55P1, 11C0, 51Z0, 14O0, 44J1f, 33L1, 36X3f, 41T2
30mar, 22X3, 74L3, 41O1, 24J1f, 11C0, 14T3, 63Z0f, 35P0
31mar, 22X3, 74L3, 41O1, 14J0f, 11C0, 24T0f, 63Z0f, 25P3
01apr, 11P0f, 36X1f, 42C2, 74L3, 51Z0, 14O0, 64J3f, 31T3
02apr, 11P0, 36X1f, 42C2, 74L3, 51Z0, 14O0, 64J3f, 31T3
03apr, 36X1f, 11L1, 53T3, 22J1f, 51Z0, 64C2, 14O0, 43P2
04apr, 36X1f, 11L1, 53T3, 22J1f, 51Z0, 33P2f, 64C2, 14O0
05apr, 44O1, 22Z0f, 42X0, 73J0, 26T0, 11L1, 15C0, 51P0f
06apr, 44O1, 22Z0f, 51P0, 42X0, 73J0, 11L1, 26T0, 15C0
07apr, 55P1, 22Z0f, 42X0, 26T0, 11L1, 51O0, 44J1f, 15C0
08apr, 11L2, 12P0f, 26T0, 42X2, 52J0, 51Z0, 15C0, 64O0
09apr, 11L2, 12P0, 26T0, 42X2, 51Z0, 52J0, 15C0, 64O0
10apr, 44P1f, 22J3, 26T0, 11L1, 51Z0, 15C0, 64O0, 23X3f
11apr, 34T1f, 22J3, 11L1, 51Z0, 54P2, 15C0, 64O0, 23X3f
12apr, 34T1f, 23X3f, 22J3, 11L1, 51Z0, 15C0, 64O0, 44P2f
13apr, 34T3f, 74P2, 22J3, 11L1, 44C2, 51Z0, 15O0, 23X3f
14apr, 34T3f, 22J3, 11L1, 44C2, 51Z0, 64P2f, 15O0, 23X3f
15apr, 34T3f, 22J3, 11L1, 44C2, 51Z0, 64O0, 23X3f, 25P2
16apr, 34T3f, 22J3, 11L1, 44C2, 51Z0, 15P2f, 64O0, 23X3f
17apr, 22J3, 11L1, 26T0, 51Z0, 15C0, 64O0, 34P1, 23X3f
18apr, 22J3, 11L1, 44C2, 51Z0, 64O0, 23X3f, 15P2f, 34T1
19apr, 22J3, 11L1, 51Z0, 15P2f, 64O0, 23X3f, 44C0, 34T1
20apr, 44O0, 22J3, 11L1, 51Z0, 64C2, 23X3f, 15P2f, 34T1
21apr, 23X3f, 44O0, 22J3, 11L1, 51Z0, 64C0, 15P2f, 34T1
22apr, 44P0f, 22J3, 11L1, 34T3, 15C2, 51Z0, 64O0, 23X3f
23apr, 44P0f, 22J3, 11L1, 34T3, 51Z0, 15C0, 64O0, 23X3f
24apr, 34T2, 22J3, 11L1, 44C2, 51Z0, 64O0, 23X3f, 16P3
25apr, 34T1f, 44P0f, 22J3, 11L1, 51Z0, 15C0, 64O0, 23X3f
26apr, 34T1f, 22J3, 11L1, 51Z0, 15C0, 64O0, 23X3f, 44P0
27apr, 34T1f, 44O0, 22J3, 11L1, 51Z0, 64P0f, 15C0, 23X3f
28apr, 34T1f, 44O0, 22J3, 11L1, 51Z0, 15C0, 64P0, 23X3f
29apr, 34T3f, 22J3, 11L1, 44C2, 51Z0, 64O0, 23X3f, 15P0f
30apr, 15P0, 34T3f, 22J3, 11L1, 44C2, 51Z0, 64O0, 23X3f
01may, 15J3, 74L3, 42P2, 61X0, 16O1, 12C2, 11T0f, 63Z0f
02may, 12C0, 15J3, 74L3, 42P2, 61X0, 16O1, 11T0f, 63Z0f
03may, 12P2f, 15J3, 32C2, 11T0, 74L3, 61X0, 16O1, 63Z0f
04may, 12P2f, 15J3, 11T0, 74L3, 61X0, 16O1, 63Z0f, 32C0
05may, 11T0, 35L3, 63P1f, 61Z1, 34X3, 12C3, 75J3f, 14O0
06may, 35L3, 34X3, 61Z1, 53C3, 14O0, 75J3f, 11T0f, 12P3
07may, 53P3, 11T0, 35L3, 34X3, 61Z1, 12C3, 75J3f, 14O0
08may, 53O1, 11T0, 35L3, 34X3, 61Z1, 12C3, 75J3f, 24P2
09may, 14P2f, 53O1, 11T0, 35L3, 34X3, 61Z1, 12C3, 75J3f
10may, 45J1, 11T0, 35L3, 53P1, 61Z1, 44X3, 12C3, 14O0
11may, 11T0, 36X1f, 74L3, 61Z1, 12C3, 34J1, 53P3f, 14O0
12may, 11T0, 35L3, 53P1, 34X3, 61Z1, 12C3, 75J3f, 14O0
13may, 11T0, 53X1f, 35L3, 73J0, 61Z1, 12C3, 14O0, 45P3f
14may, 11T0, 35L3, 34X3, 61Z1, 12C3, 75J3f, 53P3f, 14O0
15may, 53O1, 35L3, 61Z1, 34X3, 75J3f, 11T0f, 14C2, 12P3
16may, 53O1, 35L3, 34X3, 61Z1, 14C0, 75J3f, 11T0f, 12P3
17may, 25C3, 61X2f, 42Z0, 55O1, 11T0f, 43J3f, 15L0, 12P3
18may, 11T0, 61X2f, 42Z0, 12C3, 55O1, 43J3f, 15L0, 25P3
19may, 65P1f, 25O1, 11T0, 61X2f, 12C3, 42Z0, 43J3f, 15L0
20may, 25O1, 61X2f, 42Z0, 55C3, 11T0f, 43J3f, 15L0, 12P3
21may, 25O1, 11T0, 61X2f, 42Z0, 12C3, 43J3f, 15L0, 55P3
22may, 11T0, 61X2f, 26P1f, 14O1, 42Z0, 12C3, 43L0, 75J3f
23may, 16C3, 61X2f, 14O1, 42Z0, 43L0, 75J3f, 11T0f, 12P3
24may, 11T0, 61X2f, 14O1, 42Z0, 12C3, 43L0, 75J3f, 16P3
25may, 11T0, 61X2f, 42Z0, 12C3, 25P3f, 55O1, 43J3f, 15L0
26may, 25O1, 55P1, 11T0, 61X2f, 42Z0, 12C3, 43J3f, 15L0
27may, 11T0, 61Z1, 12C3, 16O1, 53L1, 14J1f, 25X1, 64P0f
28may, 11T0, 61Z1, 12C3, 16O1, 53L1, 14J1f, 25X1, 64P0
29may, 11T0, 61Z1, 12C3, 53L1, 14J1f, 16P1, 25X1, 64O0
30may, 61Z1, 53L1, 14J1f, 16C1, 11T0f, 25X1, 64O0, 12P3
31may, 16P3f, 11T0, 61Z1, 12C3, 53L1, 14J1f, 25X1, 64O0
01jun, 11P0f, 25C2, 31X1, 53L1, 32Z0f, 14T3, 64O0, 43J0f
02jun, 11P0, 25C2, 31X1, 53L1, 32Z0f, 14T3, 64O0, 43J0f
03jun, 11P0f, 32J2f, 31X1, 26T0, 53L1, 13Z1f, 15C0, 64O0
04jun, 25C2, 11O0, 31X1, 64L3, 32Z0f, 14T3, 53P2, 63J2f
05jun, 25C2, 43P2f, 11O0, 31X1, 64L3, 32Z0f, 14T3, 63J2f
06jun, 73P2, 25C2, 11O0, 31X1, 32Z0f, 14T3, 54L0, 43J2
07jun, 25C2, 11O0, 31X1, 63P2f, 32Z0f, 14T3, 54L0, 43J2
08jun, 42C0, 36X1f, 11O0, 62T1, 73J0, 31L1, 34Z1f, 24P2
09jun, 14P2f, 42C0, 36X1f, 11O0, 62T1, 73J0, 31L1, 34Z1f
10jun, 42C0, 11O0, 62T1, 73J0, 55Z1, 31L1, 14X3, 15P2f
11jun, 25C2, 11O0, 31X1, 73J0, 32Z0f, 43L2, 14T3, 54P2
12jun, 25C2, 11O0, 31X1, 73J0, 32Z0f, 43L2, 14T3, 44P2f
13jun, 74P2, 25C2, 11O0, 31X1, 53L1, 32Z0f, 14T3, 43J0f
14jun, 25C2, 11O0, 31X1, 53L1, 32Z0f, 64P2f, 14T3, 43J0f
15jun, 16C3, 32Z1f, 21J1f, 24L1, 11T3, 42X1, 64O0, 35P1
16jun, 24C2, 32Z1f, 21J1f, 44P2f, 11T3, 42X1, 64O0, 15L0
17jun, 32Z1f, 21J1f, 11T3, 42X1, 24C0, 64O0, 15L0, 44P2f
18jun, 11P0, 32T1, 42J1, 31X1, 44C2, 64O0, 14Z0, 15L0
19jun, 11P0, 32T1, 42J1, 31X1, 64O0, 14Z0, 15L0, 44C0
20jun, 11P0, 32T1, 42J1, 31X1, 44O0, 14Z0, 64C2, 15L0
21jun, 11P0, 32T1, 42J1, 31X1, 44O0, 64C0, 14Z0, 15L0
22jun, 44P1f, 42Z1f, 11O0, 31X1, 73T1f, 15C2, 36J1f, 32L3
23jun, 44P1f, 42Z1f, 11O0, 31X1, 73T1f, 36J1f, 15C0, 32L3
24jun, 14J2, 42Z1f, 11O0, 31X1, 25C0, 32L0, 73T1f, 45P3
25jun, 16C3, 14P0f, 42Z1f, 11O0, 31X1, 73J0, 32L0, 35T0f
26jun, 16C3, 14P0f, 42Z1f, 11O0, 31X1, 73J0, 32L0, 35T0
27jun, 53X3f, 11J0f, 55Z1, 51T2, 33C0, 21L1, 15O0, 64P0f
28jun, 53X3f, 11J0f, 55Z1, 51T2, 33C0, 21L1, 64P0, 15O0
29jun, 53X3f, 11J0f, 55Z1, 51T2, 33C0, 21L1, 64O0, 15P0f
30jun, 15P0, 53X3f, 11J0f, 55Z1, 51T2, 33C0, 21L1, 64O0
01jul, 22C3, 51Z0, 55J3f, 11T0f, 14P1, 52X2, 64O0, 15L0
02jul, 11T0, 44X1f, 51Z0, 55J3f, 13C3, 64O0, 15L0, 32P1
03jul, 31P0f, 52L3, 51Z0, 14T3, 64O0, 11C2, 24J1, 36X3f
04jul, 52L3, 31P0, 51Z0, 14T3, 64O0, 11C2, 24J1, 36X3f
05jul, 63P2, 73J0, 61Z1, 31L1, 14T3, 24O1, 11C2, 36X3f
06jul, 73J0, 61Z1, 31L1, 14T3, 24O1, 11C2, 36X3f, 53P2f
07jul, 45O1, 61Z1, 14T3f, 31L1, 35P2, 63X0f, 53J3f, 11C2
08jul, 45O1, 61Z1, 24X0, 31L1, 35P2, 11C2, 53T2, 63J2f
09jul, 53O1, 34X3, 61Z1, 14T3f, 31L1, 35P2, 75J3f, 11C2
10jul, 53P1, 41O1, 75J3f, 14Z0, 11C2, 15L0, 54T2, 31X2f
11jul, 32T3f, 54P2, 31J3, 42X3, 64O0, 14Z0, 11C2, 15L0
12jul, 32T3f, 31J3, 42X3, 64O0, 14Z0, 11C2, 15L0, 44P2f
13jul, 74P2, 32T3f, 44O0, 31J3, 42X3, 14Z0, 11C2, 15L0
14jul, 32T3f, 44O0, 64P2f, 31J3, 42X3, 14Z0, 11C2, 15L0
15jul, 11X3, 35L3, 52Z1f, 44O0, 64P2f, 31J3, 14C2, 13T0f
16jul, 11X3, 35L3, 52Z1f, 44O0, 14C0, 64P2f, 31J3, 13T0f
17jul, 11X3, 14P0f, 16C3, 52Z1f, 44L1, 55O1, 31J3, 13T0f
18jul, 11X3, 35L3, 52Z1f, 44C2, 64P2f, 31J3, 14O0, 13T0f
19jul, 44C0, 11X3, 35L3, 52Z1f, 64P2f, 31J3, 14O0, 13T0f
20jul, 11X3, 14P3, 52Z1f, 16O1, 44L1, 55C3, 31J3, 13T0f
21jul, 11X3, 52Z1f, 16O1, 31J3, 13T0, 14C3, 55P3, 44L1
22jul, 11X3, 26P1f, 52Z1f, 55O1, 31J3, 13T0, 14C3, 44L1
23jul, 11X3, 14P3, 16C3, 52Z1f, 44L1, 55O1, 31J3, 13T0f
24jul, 11X3, 52Z1f, 55O1, 31J3, 13T0, 14C3, 16P3, 44L1
25jul, 14Z0, 44P0f, 32T3f, 31J3, 42X3, 64O0, 11C2, 15L0
26jul, 32T3f, 31J3, 42X3, 64O0, 14Z0, 11C2, 15L0, 44P0
27jul, 32T3f, 44O0, 15L0, 31J3, 42X3, 14Z0, 11C2, 64P0f
28jul, 32T3f, 44O0, 31J3, 42X3, 64P0, 14Z0, 11C2, 15L0
29jul, 65P1f, 61X2f, 42Z0, 31L1, 43T3, 11C2, 34J0, 14O0
30jul, 14J2, 43T1, 61X2f, 42Z0, 31L1, 25P0f, 55O1, 11C2
31jul, 14J2, 43T1, 61X2f, 42Z0, 31L1, 55O1, 25P0, 11C2
01aug, 11C1, 16O1, 52L0, 51Z0, 75J3f, 44T2f, 23P2, 41X2
02aug, 11C1, 13P2f, 16O1, 52L0, 51Z0, 75J3f, 44T2f, 41X2
03aug, 31P0f, 74L3, 52X2f, 16O1, 11C0, 51Z0, 14J1f, 25T0f
04aug, 31P0, 74L3, 52X2f, 16O1, 11C0, 51Z0, 14J1f, 25T0f
05aug, 33Z1, 55T2f, 31J1f, 43L3, 16O1, 11C0, 54P1, 42X1
06aug, 73P2, 11X2f, 52L3, 21Z0, 55T2f, 16O1, 41C1, 14J1
07aug, 11X2f, 52L3, 21Z0, 55T2f, 63P2f, 16O1, 41C1, 14J1
08aug, 11X2f, 45J1, 21Z0, 34P2, 63O0, 41C1, 52T1f, 15L0
09aug, 21Z0, 52X0f, 34P2, 73J0, 44O0, 41C1, 11T3, 15L0
10aug, 21Z0, 52X0f, 73J0, 44O0, 24P2f, 41C1, 11T3, 15L0
11aug, 21Z0, 52X0f, 73J0, 54P2, 41C1, 11T3, 15L0, 24O0
12aug, 21Z0, 52X0f, 73J0, 44P2f, 41C1, 11T3, 15L0, 24O0
13aug, 21Z0, 45X3, 41O1, 63C2, 11T3, 53J3f, 15L0, 25P3
14aug, 21Z0, 45X3, 41O1, 63C0, 11T3, 53J3f, 15L0, 25P3
15aug, 16C3, 21Z0, 41O1, 24L1, 11T3, 53X0f, 35P1, 63J2f
16aug, 24C2, 21Z0, 41O1, 44P2f, 11T3, 15L0, 53X0f, 63J2f
17aug, 21Z0, 41O1, 44P2f, 11T3, 24C0, 15L0, 53X0f, 63J2f
18aug, 11X2f, 52L3, 21Z0, 55T2f, 63O0, 14J0f, 25P0f, 41C1
19aug, 11X2f, 52L3, 21Z0, 63P0f, 16O1, 41C1, 14J1, 65T2
20aug, 11X2f, 52L3, 21Z0, 55T2f, 63P0f, 16O1, 41C1, 14J1
21aug, 63P0, 11X2f, 52L3, 21Z0, 55T2f, 16O1, 41C1, 14J1
22aug, 11X2f, 52L3, 21Z0, 55T2f, 26P1f, 63O0, 41C1, 14J1
23aug, 21Z0, 52X0f, 73J0, 44O0, 24P0f, 41C1, 11T3, 15L0
24aug, 21Z0, 52X0f, 73J0, 44O0, 41C1, 11T3, 15L0, 24P0
25aug, 21Z0, 52X0f, 44P0f, 73J0, 41C1, 11T3, 15L0, 24O0
26aug, 21Z0, 52X0f, 73J0, 41C1, 11T3, 15L0, 24O0, 44P0
27aug, 11C1, 14J2, 53X3f, 55Z1, 41O1, 64P0f, 25L1, 13T0f
28aug, 14J2, 11C1, 53X3f, 55Z1, 41O1, 64P0, 25L1, 13T0f
29aug, 14P2f, 11C1, 53X3f, 74L3, 41O1, 64Z1, 13T0, 34J0
30aug, 14J2, 11C1, 53X3f, 74L3, 41O1, 64Z1, 25P0f, 13T0f
31aug, 14J2, 11C1, 53X3f, 74L3, 41O1, 64Z1, 25P0, 13T0f
01sep, 11P0f, 33O0, 65T2, 31J3, 42X3, 14Z0, 15L0, 54C1
02sep, 11P0, 33O0, 65T2, 31J3, 42X3, 14Z0, 15L0, 54C1
03sep, 11O0, 65T2, 42X3, 31J3, 14Z0, 15L0, 54C1, 43P2
04sep, 11O0, 65T2, 33P2f, 31J3, 42X3, 14Z0, 15L0, 54C1
05sep, 14Z0, 11O0, 33X2f, 54C0, 73T1f, 51P0f, 31J2f, 15L0
06sep, 14Z0, 11O0, 51P0, 33X2f, 54C0, 73T1f, 31J2f, 15L0
07sep, 14Z0, 11O0, 33X2f, 53T3, 51P0f, 31J2f, 64C2, 15L0
08sep, 11P2f, 33J2f, 53T3, 51Z0, 64C2, 15L0, 21X1, 24O0
09sep, 23C2, 11T3f, 51Z0, 43P0, 55J3f, 64O0, 15L0, 21X1
10sep, 11T3f, 51Z0, 43P0, 55J3f, 64O0, 15L0, 21X1, 23C0
11sep, 25J1, 43C2, 11T3f, 23P0f, 51Z0, 64O0, 15L0, 21X1
12sep, 25J1, 11T3f, 23P0f, 51Z0, 43C0, 64O0, 15L0, 21X1
13sep, 25J1, 74P2, 11O0, 31C2, 51Z0, 52T1f, 15L0, 14X1
14sep, 25J1, 11O0, 31C2, 51Z0, 64P2f, 52T1f, 15L0, 14X1
15sep, 35L3, 11T3f, 33C1, 23J0, 51Z0, 64O0, 21X1, 44P2f
16sep, 24C2, 11T3f, 23J3, 51Z0, 64O0, 15L0, 21X1, 44P2f
17sep, 11T3f, 23J3, 51Z0, 24C0, 64O0, 15L0, 21X1, 44P2f
18sep, 34P2, 11T3f, 44C2, 51Z0, 23J1f, 64O0, 15L0, 21X1
19sep, 34P2, 11T3f, 51Z0, 23J1f, 64O0, 15L0, 21X1, 44C0
20sep, 34L2, 11T3f, 51Z0, 23J1f, 64C2, 15O0, 21X1, 35P0
21sep, 34L2, 11T3f, 51Z0, 23J1f, 64C0, 15O0, 21X1, 35P0
22sep, 34L2, 11T3f, 15C2, 51Z0, 23J1f, 64O0, 21X1, 35P0
23sep, 34L2, 11T3f, 51Z0, 23J1f, 15C0, 64O0, 21X1, 35P0
24sep, 23P3, 11T3f, 25C1, 51Z0, 64O0, 15L0, 21X1, 43J2f
25sep, 43P1f, 11T3f, 51Z0, 64O0, 15L0, 21X1, 35C1, 23J2
26sep, 11L0, 52T1, 15X1, 51Z0, 14J3, 64O0, 16P3, 21C1
27sep, 11L0, 52T1, 16O1, 14J1f, 51Z0, 25X1, 64P0f, 21C1
28sep, 11L0, 52T1, 16O1, 14J1f, 51Z0, 25X1, 64P0, 21C1
29sep, 11L0, 52T1, 14J1f, 51Z0, 16P1, 25X1, 64O0, 21C1
30sep, 12P2f, 64X1f, 11T0, 42O0, 51Z0, 75J3f, 16C1, 33L3
01oct, 64X1f, 16O1, 51Z0, 52P2, 11T0f, 12C2, 75J3f, 33L3
02oct, 12C0, 64X1f, 16O1, 51Z0, 52P2, 11T0f, 75J3f, 33L3
03oct, 55P1, 16O1, 12J2, 52L0, 51Z0, 11T0f, 25X1, 23C3
04oct, 55P1, 11T0, 12C3, 16O1, 52L0, 14J1f, 51Z0, 25X1
05oct, 73J3f, 25C3, 13Z1f, 55O1, 11T0f, 51P0f, 15L0, 12X3
06oct, 73J3f, 25C3, 51P0, 13Z1f, 55O1, 11T0f, 15L0, 12X3
07oct, 25C3, 44J3, 51O0, 13Z1f, 11T0f, 15L0, 12X3, 55P3
08oct, 31C1, 73T1, 11O0, 65J3f, 33Z0, 15L0, 61X2, 24P0
09oct, 45O1, 22Z1f, 31C1, 73T1, 34P2, 11J2, 15L0, 61X2
10oct, 45O1, 22Z1f, 31C1, 73T1, 24P2f, 11J2, 15L0, 61X2
11oct, 45O1, 31C1, 73T1, 11J0f, 26P1f, 21L0, 34Z1, 61X2
12oct, 45O1, 31C1, 73T1, 34J2, 12X2f, 11Z0, 15P2f, 61L3
13oct, 55T2f, 31J1f, 11O0, 25P3f, 63C2, 15L0, 33X1f, 52Z0f
14oct, 55T2f, 31J1f, 11O0, 63C0, 25P3f, 15L0, 33X1f, 52Z0f
15oct, 52Z1, 44P1f, 31J1f, 74L3, 36X1f, 11O0, 14C2, 62T3f
16oct, 52Z1, 44P1f, 31J1f, 74L3, 36X1f, 11O0, 14C0, 62T3f
17oct, 32C3, 14P2f, 36X1f, 74L3, 11O0, 31J3, 24T0f, 63Z0f
18oct, 32C3, 14P2f, 36X1f, 74L3, 11O0, 31J3, 63Z0f, 24T0
19oct, 16C3, 14P0f, 74L3, 11O0, 31J2, 52X2f, 51Z0, 43T1f
20oct, 44X1f, 11O0, 55Z1, 31J3, 52T2f, 32L3, 64C2, 15P2f
21oct, 44X1f, 11O0, 55Z1, 31J3, 52T2f, 64C0, 32L3, 15P2f
22oct, 74P2, 11O0, 55Z1, 15C2, 44X3f, 31J3, 52T2f, 32L3
23oct, 74P2, 11O0, 55Z1, 44X3f, 31J3, 15C0, 52T2f, 32L3
